7883,ENSG00000157064,"nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16789"" class=""constant"">HGNC:16789</a>]",NMNAT2,Q9BZQ4,Protein coding
7884,ENSG00000232860,"SMG7 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24518"" class=""constant"">HGNC:24518</a>]",SMG7-AS1,,LncRNA
7885,ENSG00000116698,"SMG7 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16792"" class=""constant"">HGNC:16792</a>]",SMG7,Q92540,Protein coding
7886,ENSG00000116701,"neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7661"" class=""constant"">HGNC:7661</a>]",NCF2,P19878,Protein coding
7887,ENSG00000162704,"actin related protein 2/3 complex subunit 5 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:708"" class=""constant"">HGNC:708</a>]",ARPC5,O15511,Protein coding
7888,ENSG00000143344,"ral guanine nucleotide dissociation stimulator like 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30281"" class=""constant"">HGNC:30281</a>]",RGL1,Q9NZL6,Protein coding
7889,ENSG00000173627,"apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32152"" class=""constant"">HGNC:32152</a>]",APOBEC4,Q8WW27,Protein coding
7890,ENSG00000227554,novel transcript,,,LncRNA
7891,ENSG00000198756,"collagen beta(1-O)galactosyltransferase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16790"" class=""constant"">HGNC:16790</a>]",COLGALT2,Q8IYK4,Protein coding
7892,ENSG00000198860,"tRNA splicing endonuclease subunit 15 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16791"" class=""constant"">HGNC:16791</a>]",TSEN15,Q8WW01,Protein coding
7893,ENSG00000116667,"chromosome 1 open reading frame 21 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15494"" class=""constant"">HGNC:15494</a>]",C1orf21,Q9H246,Protein coding
7894,ENSG00000230470,novel transcript,,,LncRNA
7895,ENSG00000232036,novel pseudogene,,,Processed pseudogene
7896,ENSG00000116406,"ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16787"" class=""constant"">HGNC:16787</a>]",EDEM3,Q9BZQ6,Protein coding
7897,ENSG00000135842,"niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16784"" class=""constant"">HGNC:16784</a>]",NIBAN1,Q9BZQ8,Protein coding
7898,ENSG00000121481,"ring finger protein 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10061"" class=""constant"">HGNC:10061</a>]",RNF2,Q99496,Protein coding
7899,ENSG00000121486,"tRNA methyltransferase 1 like [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16782"" class=""constant"">HGNC:16782</a>]",TRMT1L,Q7Z2T5,Protein coding
7900,ENSG00000116668,"SWT1 RNA endoribonuclease homolog [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16785"" class=""constant"">HGNC:16785</a>]",SWT1,Q5T5J6,Protein coding
7901,ENSG00000238061,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog) (PSMD7) pseudogene",,,Processed pseudogene
7902,ENSG00000116679,"influenza virus NS1A binding protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16951"" class=""constant"">HGNC:16951</a>]",IVNS1ABP,Q9Y6Y0,Protein coding
7903,ENSG00000143341,"hemicentin 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19194"" class=""constant"">HGNC:19194</a>]",HMCN1,Q96RW7,Protein coding
7904,ENSG00000116690,"proteoglycan 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9364"" class=""constant"">HGNC:9364</a>]",PRG4,Q92954,Protein coding
7905,ENSG00000047410,"translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12017"" class=""constant"">HGNC:12017</a>]",TPR,P12270,Protein coding
7906,ENSG00000157181,"odr-4 GPCR localization factor homolog [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24299"" class=""constant"">HGNC:24299</a>]",ODR4,Q5SWX8,Protein coding
7907,ENSG00000262180,,,,
7908,ENSG00000116703,"phosducin [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8759"" class=""constant"">HGNC:8759</a>]",PDC,P20941,Protein coding
7909,ENSG00000229739,"PDC antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40432"" class=""constant"">HGNC:40432</a>]",PDC-AS1,,LncRNA
7910,ENSG00000228238,zinc-finger protein pseudogene,,,Processed pseudogene
7911,ENSG00000233196,novel pseudogene,,,Processed pseudogene
7912,ENSG00000073756,"prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9605"" class=""constant"">HGNC:9605</a>]",PTGS2,P35354,Protein coding
7913,ENSG00000116711,"phospholipase A2 group IVA [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9035"" class=""constant"">HGNC:9035</a>]",PLA2G4A,P47712,Protein coding
7914,ENSG00000162670,"BMP/retinoic acid inducible neural specific 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22393"" class=""constant"">HGNC:22393</a>]",BRINP3,Q76B58,Protein coding
7915,ENSG00000225811,novel transcript,,,LncRNA
7916,ENSG00000237457,"BRINP3 divergent transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:50577"" class=""constant"">HGNC:50577</a>]",BRINP3-DT,,LncRNA
7917,ENSG00000261642,novel transcript,,,LncRNA
7918,ENSG00000150681,"regulator of G protein signaling 18 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14261"" class=""constant"">HGNC:14261</a>]",RGS18,Q9NS28,Protein coding
7919,ENSG00000090104,"regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9991"" class=""constant"">HGNC:9991</a>]",RGS1,Q08116,Protein coding
7920,ENSG00000116741,"regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9998"" class=""constant"">HGNC:9998</a>]",RGS2,P41220,Protein coding
7921,ENSG00000234473,"zinc finger protein 101 pseudogene 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:44942"" class=""constant"">HGNC:44942</a>]",ZNF101P2,,Processed pseudogene
7922,ENSG00000116750,"ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19678"" class=""constant"">HGNC:19678</a>]",UCHL5,Q9Y5K5,Protein coding
7923,ENSG00000116747,"Ro60, Y RNA binding protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11313"" class=""constant"">HGNC:11313</a>]",RO60,P10155,Protein coding
7924,ENSG00000023572,"glutaredoxin 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16065"" class=""constant"">HGNC:16065</a>]",GLRX2,Q9NS18,Protein coding
7925,ENSG00000134371,"cell division cycle 73 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16783"" class=""constant"">HGNC:16783</a>]",CDC73,Q6P1J9,Protein coding
7926,ENSG00000162630,"beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:917"" class=""constant"">HGNC:917</a>]",B3GALT2,O43825,Protein coding
7927,ENSG00000162687,"potassium sodium-activated channel subfamily T member 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18866"" class=""constant"">HGNC:18866</a>]",KCNT2,Q6UVM3,Protein coding
7928,ENSG00000000971,"complement factor H [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4883"" class=""constant"">HGNC:4883</a>]",CFH,P08603,Protein coding
7929,ENSG00000066279,"assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19048"" class=""constant"">HGNC:19048</a>]",ASPM,Q8IZT6,Protein coding
7930,ENSG00000177888,"zinc finger and BTB domain containing 41 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24819"" class=""constant"">HGNC:24819</a>]",ZBTB41,Q5SVQ8,Protein coding
7931,ENSG00000134376,"crumbs cell polarity complex component 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2343"" class=""constant"">HGNC:2343</a>]",CRB1,P82279,Protein coding
7932,ENSG00000237861,"ATPase, H+ transporting, lysosomal accessory protein 2 (ATP6AP2) pseudogene",,,Processed pseudogene
7933,ENSG00000213047,"DENN domain containing 1B [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28404"" class=""constant"">HGNC:28404</a>]",DENND1B,Q6P3S1,Protein coding
7934,ENSG00000213046,"eukaryotic translation elongation factor 1 alpha 1 pseudogene 32 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:37909"" class=""constant"">HGNC:37909</a>]",EEF1A1P32,,Unprocessed pseudogene
7935,ENSG00000233040,"family with sequence similarity 204 member B, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:42011"" class=""constant"">HGNC:42011</a>]",FAM204BP,,Processed pseudogene
7936,ENSG00000203724,"chromosome 1 open reading frame 53 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30003"" class=""constant"">HGNC:30003</a>]",C1orf53,Q5VUE5,Protein coding
7937,ENSG00000143355,"LIM homeobox 9 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14222"" class=""constant"">HGNC:14222</a>]",LHX9,Q9NQ69,Protein coding
7938,ENSG00000151414,"NIMA related kinase 7 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13386"" class=""constant"">HGNC:13386</a>]",NEK7,Q8TDX7,Protein coding
7939,ENSG00000081237,"protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9666"" class=""constant"">HGNC:9666</a>]",PTPRC,P08575,Protein coding
7940,ENSG00000229989,"MIR181A1 host gene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:48659"" class=""constant"">HGNC:48659</a>]",MIR181A1HG,,LncRNA
7941,ENSG00000116833,"nuclear receptor subfamily 5 group A member 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7984"" class=""constant"">HGNC:7984</a>]",NR5A2,O00482,Protein coding
7942,ENSG00000203721,"long intergenic non-protein coding RNA 862 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21901"" class=""constant"">HGNC:21901</a>]",LINC00862,,LncRNA
7943,ENSG00000162702,"zinc finger protein 281 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13075"" class=""constant"">HGNC:13075</a>]",ZNF281,Q9Y2X9,Protein coding
7944,ENSG00000118193,"kinesin family member 14 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19181"" class=""constant"">HGNC:19181</a>]",KIF14,Q15058,Protein coding
7945,ENSG00000118197,"DEAD-box helicase 59 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25360"" class=""constant"">HGNC:25360</a>]",DDX59,Q5T1V6,Protein coding
7946,ENSG00000118200,"calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29188"" class=""constant"">HGNC:29188</a>]",CAMSAP2,Q08AD1,Protein coding
7947,ENSG00000163362,"innate immunity activator [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25599"" class=""constant"">HGNC:25599</a>]",INAVA,Q3KP66,Protein coding
7948,ENSG00000116852,"kinesin family member 21B [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29442"" class=""constant"">HGNC:29442</a>]",KIF21B,O75037,Protein coding
7949,ENSG00000229191,"novel transcript, antisense KIF21B",,,LncRNA
7950,ENSG00000081248,"calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1397"" class=""constant"">HGNC:1397</a>]",CACNA1S,Q13698,Protein coding
7951,ENSG00000232237,"achaete-scute family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33169"" class=""constant"">HGNC:33169</a>]",ASCL5,,Protein coding
7952,ENSG00000116857,"transmembrane protein 9 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18823"" class=""constant"">HGNC:18823</a>]",TMEM9,Q9P0T7,Protein coding
7953,ENSG00000163395,"immunoglobulin like and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24607"" class=""constant"">HGNC:24607</a>]",IGFN1,Q86VF2,Protein coding
7954,ENSG00000081277,"plakophilin 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9023"" class=""constant"">HGNC:9023</a>]",PKP1,Q13835,Protein coding
7955,ENSG00000118194,"troponin T2, cardiac type [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11949"" class=""constant"">HGNC:11949</a>]",TNNT2,P45379,Protein coding
7956,ENSG00000224818,novel transcript,,,LncRNA
7957,ENSG00000174307,"pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8934"" class=""constant"">HGNC:8934</a>]",PHLDA3,Q9Y5J5,Protein coding
7958,ENSG00000159176,"cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2469"" class=""constant"">HGNC:2469</a>]",CSRP1,P21291,Protein coding
7959,ENSG00000223396,"ribosomal protein S10 pseudogene 7 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:36423"" class=""constant"">HGNC:36423</a>]",RPS10P7,,Transcribed processed pseudogene
7960,ENSG00000269690,,,,
7961,ENSG00000134369,"neuron navigator 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15989"" class=""constant"">HGNC:15989</a>]",NAV1,Q8NEY1,Protein coding
7962,ENSG00000236390,novel transcript,,,LncRNA
7963,ENSG00000235121,novel transcript,,,LncRNA
7964,ENSG00000198700,"importin 9 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19425"" class=""constant"">HGNC:19425</a>]",IPO9,Q96P70,Protein coding
7965,ENSG00000198892,"shisa family member 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27139"" class=""constant"">HGNC:27139</a>]",SHISA4,Q96DD7,Protein coding
7966,ENSG00000163431,"leiomodin 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6647"" class=""constant"">HGNC:6647</a>]",LMOD1,P29536,Protein coding
7967,ENSG00000134375,"translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17315"" class=""constant"">HGNC:17315</a>]",TIMM17A,Q99595,Protein coding
7968,ENSG00000176393,"arginyl aminopeptidase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10078"" class=""constant"">HGNC:10078</a>]",RNPEP,Q9H4A4,Protein coding
7969,ENSG00000234678,"ELF3 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40211"" class=""constant"">HGNC:40211</a>]",ELF3-AS1,,LncRNA
7970,ENSG00000170075,"G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14923"" class=""constant"">HGNC:14923</a>]",GPR37L1,O60883,Protein coding
7971,ENSG00000260800,,,,
7972,ENSG00000143862,"ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25192"" class=""constant"">HGNC:25192</a>]",ARL8A,Q96BM9,Protein coding
7973,ENSG00000143851,"protein tyrosine phosphatase non-receptor type 7 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9659"" class=""constant"">HGNC:9659</a>]",PTPN7,P35236,Protein coding
7974,ENSG00000243323,"protein tyrosine phosphatase receptor type V, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13421"" class=""constant"">HGNC:13421</a>]",PTPRVP,,Transcribed unitary pseudogene
7975,ENSG00000133067,"leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19719"" class=""constant"">HGNC:19719</a>]",LGR6,Q9HBX8,Protein coding
7976,ENSG00000077152,"ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25009"" class=""constant"">HGNC:25009</a>]",UBE2T,Q9NPD8,Protein coding
7977,ENSG00000077157,"protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7619"" class=""constant"">HGNC:7619</a>]",PPP1R12B,O60237,Protein coding
7978,ENSG00000232626,"FK506 binding protein 8, 38kDa (FKBP8) pseudogene",,,Transcribed processed pseudogene
7979,ENSG00000253042,"Small nucleolar RNA SNORA70 [Source:RFAM;Acc:<a href=""http://rfam.xfam.org/family/RF00156"" class=""constant"">RF00156</a>]",SNORA70,,SnoRNA
7980,ENSG00000143858,"synaptotagmin 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11510"" class=""constant"">HGNC:11510</a>]",SYT2,Q8N9I0,Protein coding
7981,ENSG00000117139,"lysine demethylase 5B [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18039"" class=""constant"">HGNC:18039</a>]",KDM5B,Q9UGL1,Protein coding
7982,ENSG00000235449,"COX7C pseudogene 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:56510"" class=""constant"">HGNC:56510</a>]",COX7CP2,,Processed pseudogene
7983,ENSG00000226148,"solute carrier family 25 member 39 pseudogene 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:43859"" class=""constant"">HGNC:43859</a>]",SLC25A39P1,,Processed pseudogene
7984,ENSG00000214796,"tubulin alpha 5, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:54799"" class=""constant"">HGNC:54799</a>]",TUBA5P,,Transcribed unprocessed pseudogene
7985,ENSG00000183155,"RAB interacting factor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9797"" class=""constant"">HGNC:9797</a>]",RABIF,P47224,Protein coding
7986,ENSG00000117153,"kelch like family member 12 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19360"" class=""constant"">HGNC:19360</a>]",KLHL12,Q53G59,Protein coding
7987,ENSG00000230280,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 59 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:48789"" class=""constant"">HGNC:48789</a>]",HNRNPA1P59,,Processed pseudogene
7988,ENSG00000159346,"adiponectin receptor 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24040"" class=""constant"">HGNC:24040</a>]",ADIPOR1,Q96A54,Protein coding
7989,ENSG00000159348,"cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13397"" class=""constant"">HGNC:13397</a>]",CYB5R1,Q9UHQ9,Protein coding
7990,ENSG00000163444,"transmembrane protein 183A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20173"" class=""constant"">HGNC:20173</a>]",TMEM183A,Q8IXX5,Protein coding
7991,ENSG00000143847,"PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9248"" class=""constant"">HGNC:9248</a>]",PPFIA4,O75335,Protein coding
7992,ENSG00000163485,"adenosine A1 receptor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:262"" class=""constant"">HGNC:262</a>]",ADORA1,P30542,Protein coding
7993,ENSG00000224671,novel transcript,,,LncRNA
7994,ENSG00000133055,"myosin binding protein H [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7552"" class=""constant"">HGNC:7552</a>]",MYBPH,Q13203,Protein coding
7995,ENSG00000133048,"chitinase 3 like 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1932"" class=""constant"">HGNC:1932</a>]",CHI3L1,P36222,Protein coding
7996,ENSG00000133063,"chitinase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1936"" class=""constant"">HGNC:1936</a>]",CHIT1,Q13231,Protein coding
7997,ENSG00000159388,"BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1131"" class=""constant"">HGNC:1131</a>]",BTG2,P78543,Protein coding
7998,ENSG00000122176,"fibromodulin [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3774"" class=""constant"">HGNC:3774</a>]",FMOD,Q06828,Protein coding
7999,ENSG00000188783,"proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9357"" class=""constant"">HGNC:9357</a>]",PRELP,P51888,Protein coding
8000,ENSG00000058668,"ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:817"" class=""constant"">HGNC:817</a>]",ATP2B4,P23634,Protein coding
8001,ENSG00000236035,"NSA2 pseudogene 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:54580"" class=""constant"">HGNC:54580</a>]",NSA2P1,,Processed pseudogene
8002,ENSG00000221643,"small nucleolar RNA, H/ACA box 77 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32663"" class=""constant"">HGNC:32663</a>]",SNORA77,,SnoRNA
8003,ENSG00000058673,"zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29093"" class=""constant"">HGNC:29093</a>]",ZC3H11A,O75152,Protein coding
8004,ENSG00000257315,"zinc finger BED-type containing 6 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33273"" class=""constant"">HGNC:33273</a>]",ZBED6,P86452,Protein coding
8005,ENSG00000227417,SNF7 domain containing 2 (SNF7DC20) pseudogene,,,Processed pseudogene
8006,ENSG00000223505,"ribosomal protein L35a pseudogene 5 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:35570"" class=""constant"">HGNC:35570</a>]",RPL35AP5,,Processed pseudogene
